clave,desc,exist_parcial,existencia,precio_c,precio_v,valor_costo,valor_venta
HILFIL19661-21,150/48 DTY 100% POLIESTER SD NIM C/CH NEGRO,0.0,636.66,40.0,56.84,25466.4,36187.75
HILFIL81173-21,150/48 DTY 100% POLIESTER SD NIM C/G NEGRO,0.0,7146.1,30.0,45.24,214383.0,323289.56
HILFIL64105-21,150/48 DTY 100% POLIESTER SD HIM C/G NEGRO,0.0,1368.87,34.0,46.4,46541.58,63515.57
HILFIL96421-21,150/48 DTY 100% POLIESTER SD HIM C/CH NEGRO,0.0,16.61,53.8,58.0,893.62,963.38
HILFIL11189-22,150/48 DTY 100% POLIESTER SD NIM C/G GRIS,0.0,4650.4,40.0,71.92,186016.0,334456.77
HILFIL11189-23,150/48 DTY 100% POLIESTER SD NIM C/G MARINO,0.0,2244.73,40.0,71.92,89789.2,161440.98
HILFIL11189-24,150/48 DTY 100% POLIESTER SD NIM C/G BEIGE VAL,0.0,626.69,40.0,66.12,25067.6,41436.74
HILFIL11189-25,150/48 DTY 100% POLIESTER SD NIM C/G ROJO 13,0.0,1055.71,40.0,71.92,42228.4,75926.66
HILFIL11189-26,150/48 DTY 100% POLIESTER SD NIM C/G SUGAR,0.0,2480.38,40.0,66.12,99215.2,164002.73
HILFIL11189-27,150/48 DTY 100% POLIESTER SD NIM C/G ROSA,0.0,1258.95,40.0,66.12,50358.0,83241.77
HILFIL71636-22,150/48 DTY 100% POLIESTER SD NIM C/CH GRIS,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL71636-23,150/48 DTY 100% POLIESTER SD NIM C/CH MARINO,0.0,817.71,77.0,83.52,62963.67,68295.14
HILFIL71636-24,150/48 DTY 100% POLIESTER SD NIM C/CH BEIGE,0.0,605.77,77.0,77.72,46644.29,47080.44
HILFIL71636-25,150/48 DTY 100% POLIESTER SD NIM C/CH ROJO 13,0.0,222.25,77.0,83.52,17113.25,18562.32
HILFIL71636-26,150/48 DTY 100% POLIESTER SD NIM C/CH SUGAR,0.0,26.95,77.0,77.72,2075.15,2094.55
HILFIL71636-27,150/48 DTY 100% POLIESTER SD NIM C/CH ROSA,0.0,102.72,77.0,77.72,7909.44,7983.4
HILFIL11189-28,150/48 DTY 100% POLIESTER SD NIM C/G,0.0,0.0,40.0,71.92,0.0,0.0
HILFIL11189-29,150/48 DTY 100% POLIESTER SD NIM C/G FIUSHA,0.0,1647.17,40.0,71.92,65886.8,118464.47
HILFIL71636-29,150/48 DTY 100% POLIESTER SD NIM C/CH FIUSHA,0.0,343.56,77.0,83.52,26454.12,28694.13
HILFIL71636-28,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL71636-30,150/48 DTY 100% POLIESTER SD NIM C/CH MARINO,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL11189-30,150/48 DTY 100% POLIESTER SD NIM C/G MARINO,0.0,11.7,40.0,71.92,468.0,841.46
HILFIL11189-31,150/48 DTY 100% POLIESTER SD NIM C/G CANARIO,0.0,0.0,40.0,71.92,0.0,0.0
HILFIL71636-31,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL32519-32,150/48 DTY 100% POLIESTER SD NIM CRUDO,0.0,19912.6,35.0,42.92,696941.0,854648.79
HILFIL48080-32,150/48/2 DTY 100% POLIESTER SD HIM CRUDO,0.0,42.08,40.0,45.24,1683.2,1903.7
HILFIL71636-33,150/48 DTY 100% POLIESTER SD NIM C/CH REY,0.0,174.37,77.0,83.52,13426.49,14563.38
HILFIL11189-33,150/48 DTY 100% POLIESTER SD NIM C/G REY,0.0,1595.5,40.0,71.92,63820.0,114748.36
HILFIL38413-21,150/48+20 DTY 100% POLIESTER SD TANG NEGRO,0.0,10126.4599,50.0,61.48,506322.99,622574.75
HILFIL24576-20,150/48 DTY 100% POLIESTER SD NIM C/CH BLANCO,0.0,0.27,59.6,64.96,16.09,17.54
HILFIL17721-20,150/48 DTY 100% POLIESTER SD NIM C/G BLANCO,0.0,4.5,40.0,53.36,180.0,240.12
HILFIL11189-34,150/48 DTY 100% POLIESTER SD NIM C/G,0.0,1368.37,40.0,66.12,54734.8,90476.62
HILFIL11189-35,150/48 DTY 100% POLIESTER SD NIM C/G GRIS,0.0,1964.11,40.0,71.92,78564.4,141258.79
HILFIL11189-36,150/48 DTY 100% POLIESTER SD NIM C/G GRANATE,0.0,3966.62,40.0,71.92,158664.8,285279.31
HILFIL11189-37,150/48 DTY 100% POLIESTER SD NIM C/G ARENA,0.0,1157.73,40.0,66.12,46309.2,76549.11
HILFIL11189-38,150/48 DTY 100% POLIESTER SD NIM C/G LAVANDA,0.0,1807.82,40.0,66.12,72312.8,119533.06
HILFIL38413-20,150/48+20 DTY 100% POLIESTER SD TANG BLANCO,0.0,0.3,50.0,99.01,15.0,29.7
HILFIL11189-39,150/48 DTY 100% POLIESTER SD NIM C/G MILITAR,0.0,2133.5,40.0,71.92,85340.0,153441.32
HILFIL71636-34,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,310.38,77.0,77.72,23899.26,24122.73
HILFIL71636-35,150/48 DTY 100% POLIESTER SD NIM C/CH GRIS,0.0,133.29,77.0,83.52,10263.33,11132.38
HILFIL71636-36,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,181.48,77.0,83.52,13973.96,15157.21
HILFIL71636-37,150/48 DTY 100% POLIESTER SD NIM C/CH ARENA,0.0,184.02,77.0,77.72,14169.54,14302.03
HILFIL71636-38,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,65.39,77.0,77.72,5035.03,5082.11
HILFIL71636-39,150/48 DTY 100% POLIESTER SD NIM C/CH MILITAR,0.0,189.67,77.0,83.52,14604.59,15841.24
HILFIL46741-32,150/144 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,29.44,41.76,0.0,0.0
HILFIL45245-32,150/144/2 DTY 100% POLIESTER SD SIM CRUDO,0.0,0.0,30.6,41.76,0.0,0.0
HILFIL11189-40,150/48 DTY 100% POLIESTER SD NIM C/G VERDE,0.0,33.0,40.0,71.92,1320.0,2373.36
HILFIL71636-40,150/48 DTY 100% POLIESTER SD NIM C/CH VERDE,0.0,15.3,77.0,83.52,1178.1,1277.86
HILFIL71636-41,150/48 DTY 100% POLIESTER SD NIM C/CH ROSA,0.0,0.0,77.0,83.52,0.0,0.0
SINSIN36831,prueba pedimentos,0.0,0.0,12.0,15.0,0.0,0.0
HILFIL38413-32,150/48+20 DTY 100% POLIESTER SD TANG CRUDO,0.0,984.786,50.0,60.32,49239.3,59402.29
HILFIL61782-32,75/72 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,27.12,42.92,0.0,0.0
HILFIL30257-21,150/48/2 DTY 100% POLIESTER SD HIM C/G NEGRO,0.0,3410.3,38.0,46.4,129591.4,158237.92
HILFIL38413-23,150/48+20 DTY 100% POLIESTER SD TANG MARINO,0.0,54.93,50.0,111.0,2746.5,6097.23
HILFIL38413-26,150/48+20 DTY 100% POLIESTER SD TANG SUGAR,0.0,0.0,50.0,99.01,0.0,0.0
HILFIL38413-25,150/48+20 DTY 100% POLIESTER SD TANG ROJO 13,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL18923-21,150/48/2 DTY 100% POLIESTER SD HIM C/CH,0.0,0.0,40.0,58.0,0.0,0.0
HILFIL81428-32,55/72 DTY 100% POLIESTER SD SIM CRUDO,0.0,0.0,39.88,49.88,0.0,0.0
HILFIL39532-32,HILO 75/72/2 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL38413-22,150/48+20 DTY 100% POLIESTER SD TANG GRIS,0.0,0.0,50.0,111.0,0.0,0.0
HILFIL38413-27,150/48+20 DTY 100% POLIESTER SD TANG ROSA,0.0,0.0,50.0,107.0,0.0,0.0
HILFIL38413-24,150/48+20 DTY 100% POLIESTER SD TANG BEIGE,0.0,1.3,50.0,107.0,65.0,139.1
HILFIL38413-34,150/48+20 DTY 100% POLIESTER SD TANG,0.0,0.0,50.0,107.0,0.0,0.0
