clave,desc,exist_parcial,existencia,precio_c,precio_v,valor_c,valor_v
HILFIL19661-21,150/48 DTY 100% POLIESTER SD NIM C/CH NEGRO,0.0,636.66,40.0,56.84,25466.399999999998,36187.7544
HILFIL81173-21,150/48 DTY 100% POLIESTER SD NIM C/G NEGRO,0.0,8262.1,30.0,45.24,247863.0,373777.40400000004
HILFIL64105-21,150/48 DTY 100% POLIESTER SD HIM C/G NEGRO,0.0,1368.87,34.0,46.4,46541.579999999994,63515.56799999999
HILFIL96421-21,150/48 DTY 100% POLIESTER SD HIM C/CH NEGRO,0.0,16.61,53.8,58.0,893.6179999999999,963.38
HILFIL11189-22,150/48 DTY 100% POLIESTER SD NIM C/G GRIS,0.0,4650.4,40.0,71.92,186016.0,334456.768
HILFIL11189-23,150/48 DTY 100% POLIESTER SD NIM C/G MARINO,0.0,2367.03,40.0,71.92,94681.20000000001,170236.79760000002
HILFIL11189-24,150/48 DTY 100% POLIESTER SD NIM C/G BEIGE VAL,0.0,626.69,40.0,66.12,25067.600000000002,41436.74280000001
HILFIL11189-25,150/48 DTY 100% POLIESTER SD NIM C/G ROJO 13,0.0,1055.71,40.0,71.92,42228.4,75926.66320000001
HILFIL11189-26,150/48 DTY 100% POLIESTER SD NIM C/G SUGAR,0.0,2480.38,40.0,66.12,99215.20000000001,164002.7256
HILFIL11189-27,150/48 DTY 100% POLIESTER SD NIM C/G ROSA,0.0,1258.95,40.0,66.12,50358.0,83241.774
HILFIL71636-22,150/48 DTY 100% POLIESTER SD NIM C/CH GRIS,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL71636-23,150/48 DTY 100% POLIESTER SD NIM C/CH MARINO,0.0,817.71,77.0,83.52,62963.670000000006,68295.1392
HILFIL71636-24,150/48 DTY 100% POLIESTER SD NIM C/CH BEIGE,0.0,605.77,77.0,77.72,46644.29,47080.4444
HILFIL71636-25,150/48 DTY 100% POLIESTER SD NIM C/CH ROJO 13,0.0,222.25,77.0,83.52,17113.25,18562.32
HILFIL71636-26,150/48 DTY 100% POLIESTER SD NIM C/CH SUGAR,0.0,51.21,77.0,77.72,3943.17,3980.0412
HILFIL71636-27,150/48 DTY 100% POLIESTER SD NIM C/CH ROSA,0.0,102.72,77.0,77.72,7909.44,7983.3984
HILFIL11189-28,150/48 DTY 100% POLIESTER SD NIM C/G,0.0,0.0,40.0,71.92,0.0,0.0
HILFIL11189-29,150/48 DTY 100% POLIESTER SD NIM C/G FIUSHA,0.0,1647.17,40.0,71.92,65886.8,118464.4664
HILFIL71636-29,150/48 DTY 100% POLIESTER SD NIM C/CH FIUSHA,0.0,343.56,77.0,83.52,26454.12,28694.1312
HILFIL71636-28,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL71636-30,150/48 DTY 100% POLIESTER SD NIM C/CH MARINO,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL11189-30,150/48 DTY 100% POLIESTER SD NIM C/G MARINO,0.0,11.7,40.0,71.92,468.0,841.4639999999999
HILFIL11189-31,150/48 DTY 100% POLIESTER SD NIM C/G CANARIO,0.0,0.0,40.0,71.92,0.0,0.0
HILFIL71636-31,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,0.0,77.0,83.52,0.0,0.0
HILFIL32519-32,150/48 DTY 100% POLIESTER SD NIM CRUDO,0.0,19912.6,35.0,42.92,696941.0,854648.792
HILFIL48080-32,150/48/2 DTY 100% POLIESTER SD HIM CRUDO,0.0,42.08,40.0,45.24,1683.1999999999998,1903.6992
HILFIL71636-33,150/48 DTY 100% POLIESTER SD NIM C/CH REY,0.0,174.37,77.0,83.52,13426.49,14563.3824
HILFIL11189-33,150/48 DTY 100% POLIESTER SD NIM C/G REY,0.0,1595.5,40.0,71.92,63820.0,114748.36
HILFIL38413-21,150/48+20 DTY 100% POLIESTER SD TANG NEGRO,0.0,10126.4599,50.0,61.48,506322.995,622574.7546519999
HILFIL24576-20,150/48 DTY 100% POLIESTER SD NIM C/CH BLANCO,0.0,0.27,59.6,64.96,16.092000000000002,17.5392
HILFIL17721-20,150/48 DTY 100% POLIESTER SD NIM C/G BLANCO,0.0,4.5,40.0,53.36,180.0,240.12
HILFIL11189-34,150/48 DTY 100% POLIESTER SD NIM C/G,0.0,1368.37,40.0,66.12,54734.799999999996,90476.6244
HILFIL11189-35,150/48 DTY 100% POLIESTER SD NIM C/G GRIS,0.0,1964.11,40.0,71.92,78564.4,141258.7912
HILFIL11189-36,150/48 DTY 100% POLIESTER SD NIM C/G GRANATE,0.0,3966.62,40.0,71.92,158664.8,285279.3104
HILFIL11189-37,150/48 DTY 100% POLIESTER SD NIM C/G ARENA,0.0,1157.73,40.0,66.12,46309.2,76549.1076
HILFIL11189-38,150/48 DTY 100% POLIESTER SD NIM C/G LAVANDA,0.0,1807.82,40.0,66.12,72312.8,119533.05840000001
HILFIL38413-20,150/48+20 DTY 100% POLIESTER SD TANG BLANCO,0.0,0.3,50.0,99.01,15.0,29.703
HILFIL11189-39,150/48 DTY 100% POLIESTER SD NIM C/G MILITAR,0.0,2133.5,40.0,71.92,85340.0,153441.32
HILFIL71636-34,150/48 DTY 100% POLIESTER SD NIM C/CH,0.0,310.38,77.0,77.72,23899.26,24122.7336
